item,status,note
phase9_final_model_packaging,pass,"Final v8 model package generated without retuning."
phase9_all_gates,fail,"Includes the clean-source provenance gate."
phase9_closure,pass_final_model_packaging,"Closure ignores no scientific gate; clean provenance may require source commit plus rerun."
model_retuning_performed,false,"No model retuning occurred."
device_status_changes,false,"Phase 6 device statuses are preserved."
claims_frozen,true,"Permitted/prohibited claim hierarchy written."
limitations_frozen,true,"Final limitation ledger written."
quantitative_raman_prior_rescore,not_run,"Registered Raman transport prior is not promoted to a quantitative model input."
raman_missingness_handled,true,"True only when missing registered Raman evidence has an explicitly accepted disposition."
raman_rescore_reason,no_defensible_registered_spatial_transform,"Reason registered Raman is quantitative, unavailable, or unresolved."
raman_role,qualitative_independent_mechanical_context,"Final Raman role in the v8 model package."
source_pre_run_clean,false,"Copied from Phase 9 provenance checkpoint."
next_phase,phase10_reproducible_v8_release,"Prepare reproducible v8 release package."
