claim,status,value,note
monotonic_field_suppression,pass,true,"PB improves full-map residuals and Ic-envelope error relative to P0."
static_phase_interference,directionally_informative,limited_low_current_incremental_value,"Pphi has a small MSE gain over PB but this is not sufficient for adequacy."
phase_interference_quantitative_adequacy,fail,false,"Fails because morphology and bounds remain inadequate."
oscillation_morphology,pass,overproduced,"Pphi produces many more turning points than observed."
shared_quantitative_field_predictor,fail,false,"No shared quantitative field predictor is established."
AS006_quantitative_field_predictor,fail,false,"Even for AS006, quantitative field adequacy is not established."
prediction_bounds_limitation,pass,retained,"Prediction-bound failures are preserved."
high_current_transfer,pass,weak,"High-current transfer is weak or negative."
zero_field_inheritance,pass,true,"PB/Pphi recover P0 at nearest zero field."
R1_R2_shared_phase_state,pass,true,"Pphi uses one shared phase envelope for R1/R2."
Josephson_dynamics_established,false,false,"Phase 15 uses a static constrained solver, not RSJ dynamics."
vortex_mechanism_established,false,false,"No vortex model is introduced."
topological_mechanism_established,false,false,"No topology term or topological claim is introduced."
preferred_field_baseline,PB,PB,"Parsimonious field-suppression baseline is preferred over Pphi."
