item,value,note
phase18A_closure,pass_bidirectional_sweep_protocol_freeze,"Phase 18A freezes the acquisition/import protocol only."
phase18_closure_consumed,pass_experimental_design_optimization,"Phase 18 must remain closed and consumed."
selected_experiment_id,E05_bidirectional_sweep_rate,"Top near-term experiment from Phase 18 ranking."
selected_measurement,Bidirectional current sweeps with sweep-rate series,"Measurement family selected by value per difficulty."
phase18_rank,1,"Rank inherited from Phase 18, not recomputed here."
primary_discrimination_target,thermal_retrapping_identifiability,"Target remains an unresolved limitation, not a model claim."
priority_devices,AS001|AS004|AS006,"AS001/AS004 test raw nonlinear switching; AS006 links field context."
required_channels,R1|R2_when_available,"Channels must not be relabeled or independently fitted."
current_sweep_requirement,positive_and_negative_current_sweeps_with_direction_labels,"Sweep direction is required for retrapping and hysteresis evidence."
sweep_rate_requirement,at_least_three_rates_spanning_slow_nominal_fast,"Rate series is required to distinguish static switching from dynamics."
temperature_requirement,same_temperature_grid_or_declared_interpolation_policy,"Temperature handling must be fixed before analysis."
field_requirement,zero_field_required; optional_field_repeats_recorded_separately,"This is not a field-model refit."
raw_grid_requirement,raw_I_T_channel_matrices_plus_axis_vectors_and_checksums,"Raw data must be reproducible and machine-readable."
allowed_use,thermal_retrapping_identifiability_and_sweep_history_lock,"Outputs are future-data readiness artifacts."
blocked_use,no_hysteresis_fit_no_new_thermal_model_no_parameter_retuning,"Phase 18A cannot rescue prior model limitations by extra flexibility."
next_phase,phase18B_acquisition_or_import_of_bidirectional_sweep_rate_data,"Execution/import happens only after the protocol is frozen."
