gate,outcome,note
Phase 14B.1 law and solver consumed,pass,"NI law is inherited; no source-level retuning is allowed."
Phase 14B.2 solver verification referenced,pass,"Synthetic limiting-case behavior is referenced when artifacts are present; this phase does not rerun or retune it."
Phase 14B.4L raw grid lock consumed,pass,"AS001/AS004 canonical raw grids are consumed."
Raw experimental grids used,pass,"No proxy metrics are substituted."
AS001 and AS004 only,pass,"AS006 field nonlinear context remains outside Phase 14B.5."
N0 and NI compared,pass,"N0 is FB/low-current baseline; NI adds current switching."
Primary and secondary channels retained,pass,"R1 and R2 are scored separately."
Shared nonlinear parameters only,pass,"Device-specific nonlinear gains remain prohibited."
Full-map residuals emitted,pass,"Residuals are computed over the full I,T matrix."
Temperature-slice residuals emitted,pass,"Representative temperature regions are recorded."
Channel performance emitted,pass,"R1/R2 performance and NI improvement are recorded."
Switching currents emitted,pass,"Positive and negative switching estimates are recorded."
Switching widths and feature counts emitted,pass,"Width and feature-count diagnostics are recorded."
Current symmetry emitted,pass,"Positive/negative current symmetry is recorded."
Low/high-bias resistance emitted,pass,"Low- and high-bias behavior is recorded."
Current-range censoring emitted,pass,"Predicted Ic must fit within measured current range."
Prediction interval coverage emitted,pass,"Coverage is descriptive and not a final adequacy claim."
Solver diagnostics emitted,pass,"Solver diagnostic table was emitted for every raw-grid prediction."
All solver outputs finite,pass,"All predicted maps contain finite values."
All requested predictions completed,pass,"Every AS001/AS004, R1/R2, N0/NI prediction row completed."
Numerical convergence achieved,pass,"Analytic current-switching solver completed without convergence failure."
Prediction bounds satisfied,fail,"Predictions stay inside the frozen normalized diagnostic bounds."
Prediction bounds audit emitted,pass,"Bounds violations are archived without clipping or threshold retuning."
Thermal and phase feedback absent,pass,"Electrothermal feedback is not used in Phase 14B.5."
Phase 14C trigger assessment emitted,pass,"14C is conditional on hysteresis-identifiable evidence."
Clean provenance,pass,"True only when Phase 14B.5 starts from a clean checkout."
