gate,outcome,note
Phase 15A raw-data lock consumed unchanged,pass,"The frozen Phase 15A handoff is read as an input."
Phase 15A artifact commit reachable,pass,"The Phase 15A artifact-freeze commit is part of this source history."
FB and NI inheritance preserved,pass,"Phase-aware terms are added after FB and NI without retuning them."
Phase-aware equations frozen,pass,"Current-phase, voltage, gauge, and loop equations are present."
Gauge-invariant field coupling used,pass,"Magnetic coupling enters through vector-potential line integrals."
Loop geometry independent of oscillation fit,pass,"Loop choices are geometry-driven, not residual-driven."
Field suppression separated from phase interference,pass,"PB and Pphi separate monotonic suppression from interference."
R1/R2 share one underlying phase state,pass,"R1 and R2 must be predicted from one phase solution."
No manual oscillation-period fitting,pass,"Manual field periods are blocked."
No hysteresis claims from single-branch data,pass,"Sweep-history claims remain blocked by Phase 15A metadata."
No topological interpretation encoded,pass,"No topological term appears in the model specification."
Validation windows predeclared,pass,"Single-device field validation windows are frozen before execution."
Synthetic flux tests predeclared,pass,"Phase 15C tests are declared before implementation adequacy."
No raw AS006 residuals used,pass,"This phase freezes the specification only."
Clean provenance,pass,"The checkout was clean before Phase 15B wrote outputs."
