item,value,note
phase15C_objective,verify_phase_solver_and_flux_interference_synthetically,"Phase 15C is implementation verification only."
phase_solver_type,static_constrained,"Static phase/current-balance constraints are solved, not full dynamics."
dynamic_phase_slips_modeled,false,"Voltage dynamics and phase slips are not claimed."
Phi0_Wb,2.0678e-15,"Flux quantum used for synthetic periodicity checks."
synthetic_area_A_m2,2e-12,"Geometry-like synthetic loop area; not AS006 fitted."
synthetic_area_scale,2,"Second loop area scale for inverse-period test."
field_suppression_B0_T,0.008,"Synthetic monotonic field suppression scale."
tolerance,1e-09,"Numerical tolerance for hard verification gates."
phase15B_closure_consumed,pass_minimal_phase_aware_model_freeze,"Frozen Phase 15B specification is consumed."
AS006_residuals_used,false,"AS006 raw maps are reserved for Phase 15D."
manual_period_fit,false,"No observed oscillation period is used."
topological_term_used,false,"No topological superconductivity term is encoded."
thermal_feedback_used,false,"Thermal feedback is not part of Phase 15C."
