gate,outcome,note
Phase 15A raw field lock consumed,pass,"Locked AS006 raw field source and channel metadata are consumed."
Phase 15B specification consumed unchanged,pass,"Frozen P0/PB/Pphi hierarchy is consumed."
Phase 15C synthetic verification consumed,pass,"Synthetic flux/interference verification is consumed."
Both locked channels evaluated,pass,"R1 and R2 are both evaluated."
All frozen variants evaluated,pass,"P0, PB, and Pphi residuals are emitted."
Raw grid finite,pass,"Canonical AS006 raw grid contains finite R1/R2 values."
Full-map residuals finite,pass,"Full-map residuals are finite for all variants and channels."
Held-out field windows evaluated,pass,"Central/outer and alternate field windows are evaluated."
Current-range transfer evaluated,pass,"Low/high current transfer rows are emitted."
Field symmetry evaluated,pass,"Observed and modeled even-field symmetry diagnostics are emitted."
Critical-current envelopes emitted,pass,"Observed/model envelope errors are emitted."
Oscillatory structure emitted,pass,"Field-trace oscillatory metrics are emitted without fitting a period."
Zero-field inheritance checked,pass,"PB/Pphi recover P0 at nearest zero field."
Prediction bounds audit emitted,pass,"Bounds are audited but adequacy remains Phase 15E."
R1/R2 share one phase state,pass,"R1/R2 use the same phase envelope."
Channel transform is field-local,pass,"R2 transform uses no cross-field mean, holdout leakage, or channel period."
No manual period fit,pass,"Observed AS006 oscillation period is not fitted."
No topology term,pass,"No topological superconductivity term is introduced."
No thermal memory,pass,"No electrothermal hysteresis or memory is introduced."
No independent R1/R2 loop parameters,pass,"Channel-specific loop periods are prohibited."
Clean provenance,pass,"The checkout was clean before Phase 15D wrote outputs."
