claim,status,allowed_in_manuscript,source,supporting_value
preferred_field_model,PB,1,Phase15E,PB
preferred_spatial_representation,reduced_geometry_class_basis,1,Phase16D,reduced_geometry_class_basis
reduced_model_scope,semi_phenomenological_literature_constrained,1,Phase1-16,model_scope_frozen
connectivity_claim,transport_sensitive_structured_connectivity_supported_at_class_level,1,Phase16D,supported
local_Tc_claim,retained_partial_support,1,Phase16D,retained_partial_support
AS005_crack_claim,supported_but_not_uniquely_decomposed,1,Phase16D,supported_but_not_uniquely_decomposed
AS006_field_claim,monotonic_field_suppression_supported,1,Phase15E,true
Pphi_claim,directionally_informative_but_quantitatively_inadequate,1,Phase15E,limited_low_current_incremental_value
quantitative_predictor_claim,not_established,0,Phase15E,false
unique_map_claim,prohibited,0,Phase16D,false
