gate,outcome,expected_scientific_limitation,note
Phase 15E adequacy decision consumed,pass,0,"Uses frozen Phase 15E PB/Pphi adequacy decision."
Phase 16A inventory consumed,pass,0,"Uses Phase 16A observable/parameter inventory."
Phase 16B sensitivity conditioning consumed,pass,0,"Uses Phase 16B sensitivity/degeneracy conditioning."
Phase 16C profile ensemble consumed,pass,0,"Uses Phase 16C profile and pseudo-objective ensemble."
Phase 16D spatial reduction consumed,pass,0,"Uses Phase 16D reduced spatial basis and claim policy."
Phase 15E artifact commit reachable,pass,0,"Canonical Phase 15E artifact commit must be in history."
Phase 16D artifact commit reachable,pass,0,"Canonical Phase 16D artifact commit must be in history before final freeze."
No new physical mechanism,pass,0,"No topology, vortex, heating, new phase dynamics, or microscopy term."
No parameter retuning,pass,0,"No parameter changes or residual rescoring."
No solver rerun,pass,0,"No solver execution in Phase 16E."
PB retained as field baseline,pass,0,"PB remains selected AS006 field baseline."
Reduced geometry-class basis retained,pass,0,"Spatial representation stays class-level/reduced."
Dense Pphi excluded from primary claim,pass,0,"Dense Pphi remains excluded from primary identifiability analysis."
Unique Wij inference prohibited,pass,0,"Individual link map inference remains blocked."
Shared quantitative predictor claim blocked,pass,0,"Quantitative universal predictor is not claimed."
Scientific limitations preserved,pass,0,"Negative adequacy/recoverability results are retained."
Clean provenance,pass,0,"Canonical artifact freeze requires clean pre-run source state."
