gate,outcome,scientific,note
Phase 16A inventory consumed unchanged,pass,0,"Phase 16A handoff closure is present and passing."
No new physical mechanism introduced,pass,0,"Sensitivity analysis is read-only."
PB retained as primary AS006 field model,pass,0,"Phase 15E selected PB as preferred field model."
Dense Pphi excluded from primary inference,pass,0,"Dense static phase layer is excluded from primary conditioning."
Unique Wij inference prohibited,pass,0,"Spatial derivatives remain class-level only."
Parameter scales frozen before execution,pass,0,"Reduced active parameter set and scales are declared."
Multiple finite-difference scales checked,pass,0,"1%, 5%, and 10% perturbation scales are included."
All retained observable families included,pass,0,"R(T), dV/dI(I,T), and dV/dI(I,B) are represented."
Device-specific information reported,pass,0,"Device-by-parameter information ledger is emitted."
Local conditioning analyzed,pass,0,"Information matrix, SVD, and correlations are emitted."
Global bounded sensitivity analyzed,pass,0,"Bounded global sensitivity summary is emitted."
Structural and practical non-identifiability separated,pass,0,"Degeneracy pairs are explicitly reported."
Raman not quantitatively coupled without registration,pass,0,"Raman/geometry is context only until registration is available."
Full reduced parameter vector well conditioned,pass,1,"Failure is scientifically allowed and indicates practical degeneracy."
Clean provenance,pass,0,"True only for clean source before this run writes outputs."
