gate,outcome,note
Frozen Phase 13A mapping used unchanged,pass,"Phase 13A inputs are consumed through frozen Phase 13C.1 manifests."
Phase 13C.1 data and objective lock consumed unchanged,pass,"Data lock, objective weights, folds, and firewall are read before execution."
Six leave-one-device-out folds completed,pass,"One completed LODO fold per device is required."
Held-out data excluded from calibration,pass,"The held-out device is evaluated only after candidate selection."
Shared parameters only,pass,"Only shared parameter candidates are searched."
No device-specific mechanism corrections,pass,"No held-out-specific mechanism knobs are introduced."
Paired probes predicted jointly,pass,"AS001/AS004/AS006 paired probes share one network state per fold."
Geometry-family tests executed,pass,"Declared geometry-family rows are populated from held-out residuals."
Frozen seed ensemble used,pass,"All predictions use the frozen seed ensemble for intervals."
Failed predictions retained,pass,"The failed log is always written, even when it records no failures."
Phase 6 labels unused,pass,"Interpretive labels are never calibration targets."
Raman unused as transport target,pass,"Raman remains independent context."
Full R(T) curves generated,pass,"Long-form held-out R(T) prediction rows were written."
Clean provenance,pass,"True only when execution starts from a clean checkout."
