item,value,note
loader_name,load_dVdIvIvT_dat,"Deterministic loader for recovered dVdI(I,T) .dat files."
loader_version,v1,"Increment only if parsing policy changes."
input_format,comma_delimited_long_table,"Files are exported tables with one row per current-temperature sample."
required_columns,temp|I|R1|R2,"Headers must be explicit."
canonical_current_axis,current_A_unique_sorted_ascending,"Current axis is sorted into the matrix row direction."
canonical_temperature_axis,temperature_K_unique_sorted_ascending,"Temperature axis is sorted into the matrix column direction."
canonical_matrix_orientation,dVdI_Ohm_size_NI_by_NT,"Silent transpose is prohibited."
probe_pair,R1 and R2 columns retained; R1 used as primary canonical grid for Phase 14B.5 unless explicitly overridden,"Probe-pair policy records wiring/context, not a single matrix channel."
measurement_channel,R1_primary_dVdI|R2_secondary_dVdI,"Canonical MAT file stores primary and secondary dVdI matrices separately."
matrix_channel_count,2,"Number of measured matrix channels retained in each canonical grid."
primary_matrix_column,R1,"R1 is the canonical matrix for raw Phase 14B.5 unless explicitly changed."
secondary_matrix_column_retained,R2,"R2 is preserved in canonical grids for audit and possible secondary checks."
field_T,0,"No field-dependent map is introduced here."
background_subtraction_policy,not_detected_in_file_header; table values treated as exported measured dVdI/R columns,"No hidden preprocessing is inferred beyond exported table values."
no_fitting_performed,true,"Relock stage does not fit model parameters."
no_proxy_substitution,true,"Recovered files are real raw sources, not proxy substitutions."
automatic_probe_fallback,prohibited,"Probe fallback remains prohibited by the Phase 14A/14B policy."
