item,value,note
artifact_session_source_commit_sha,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,"Commit captured before the artifact-generation session wrote outputs."
artifact_session_source_tree_sha,d473d0784b77002a82b2beadaea7a114f12f7181,"Git tree object captured before the artifact-generation session wrote outputs."
artifact_session_pre_run_tracked_clean,true,"Tracked cleanliness captured before Phase 5C/5D artifact generation."
artifact_session_pre_run_untracked_clean,true,"Untracked cleanliness captured before Phase 5C/5D artifact generation."
artifact_session_pre_run_clean,true,"True only when tracked and untracked checks were clean at session start."
artifact_session_started_at,20260728T102857,"Timestamp for the immutable provenance snapshot."
provenance_scope,combined_phase5C_phase5D_session,"Standalone phase run or combined Phase 5C/5D artifact session."
phase5D_entry_commit_sha,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,"Commit visible at Phase 5D entry."
phase5D_entry_tracked_clean,false,"Tracked cleanliness at Phase 5D entry, after any earlier phase in the same session."
phase5D_entry_untracked_clean,false,"Untracked cleanliness at Phase 5D entry, after any earlier phase in the same session."
phase5D_entry_clean,false,"True only when Phase 5D itself begins from a clean tree."
phase5D_entry_dirty_reason,Phase 5C artifacts regenerated or created earlier in the same controlled session,"Explains why phase-entry cleanliness may differ from session-start cleanliness."
artifact_tree_clean_after_run,not_evaluated_at_start,"A run that writes outputs normally leaves artifacts dirty afterward; this is not a source provenance failure."
calibration_seed_range,101-160,"May be used to tune nuisance bounds and thresholds."
validation_seed_range,1001-1080,"Must not be inspected while tuning calibration settings."
source_provenance_policy,Commit source/config first; rerun 5C/5D from that source; commit generated artifacts separately.,"The artifact commit need not be embedded in files generated before that commit exists."
