gate,outcome,note
"Phase 14B.4R recovery consumed",pass,"Relock starts only after recovered raw sources."
"AS001 source file locked",pass,"AS001 selected source exists and canonical grid is locked."
"AS004 source file locked",pass,"AS004 selected source exists and canonical grid is locked."
"File checksums recorded",pass,"Every recovered source receives a SHA-256 checksum."
"Current axes validated",pass,"Current axes are finite, complete, and ordered."
"Temperature axes validated",pass,"Temperature axes are finite, complete, and ordered."
"dVdI matrices validated",pass,"R1/R2 matrices are parsed from raw table columns."
"Matrix orientation validated",pass,"Canonical dVdI matrix is NI x NT with no silent transpose."
"Units explicit",pass,"A, K, and Ohm units are explicitly frozen."
"Zero-current location validated",pass,"Zero-current index exists on each current axis."
"Probe, matrix-channel, and field conditions explicit",pass,"Probe pair, measured matrix channels, and fixed-field context are explicit."
"Third recovered candidate resolved",pass,"The duplicate AS001 source is recorded by checksum."
"No fitting performed",pass,"This stage is a loader/schema freeze, not an optimizer."
"No proxy substitution",pass,"No proxy metrics are substituted for raw nonlinear grids."
"Clean provenance",pass,"True only when Phase 14B.4L starts from a clean checkout."
