item,value,note
phase15D_objective,compare_frozen_P0_PB_Pphi_to_locked_AS006_R1_R2_maps,"Phase 15D performs raw execution; adequacy is reserved for Phase 15E."
phase15A_closure_consumed,pass_as006_field_observable_lock,"Phase 15A raw field lock consumed."
phase15B_closure_consumed,pass_minimal_phase_aware_model_freeze,"Phase 15B model specification consumed."
phase15C_closure_consumed,pass_synthetic_flux_interference_verification,"Phase 15C synthetic verification consumed."
device,AS006,"Only AS006 field maps are evaluated."
raw_field_source,/Users/asewaket/Documents/Thesis/Raw Transport Data/2023_5_26_ASD087/data/ASD092_dVdIvIvB_0108.dat,"Locked AS006 raw field data path consumed without relabeling."
current_axis_points,501,"Locked current-axis size."
field_axis_points,1001,"Locked field-axis size."
grid_rows,501501,"Raw table row count."
variants,P0|PB|Pphi,"Frozen field-response hierarchy."
channels,R1|R2,"Both locked AS006 measurement channels are carried."
shared_phase_state,true,"Pphi phase envelope is shared across R1/R2."
manual_period_fit,false,"No observed oscillation period is fit."
topological_term_used,false,"No topological term is introduced."
thermal_memory_used,false,"No hysteretic thermal memory is introduced."
independent_R1_R2_loop_parameters,false,"R1/R2 do not receive independent loop periods."
phase_solver_type,static_constrained,"Static phase-constrained solver inherited from Phase 15C."
effective_area_m2,2e-12,"Frozen effective area from synthetic verification, not AS006 fit."
field_suppression_B0_T,0.008,"Frozen monotonic suppression scale from Phase 15C."
