gate,outcome,note
Phase 6 hierarchy preserved,pass,"Frozen Phase 6 hierarchy/status files are consumed without relabeling."
Phase 7 annotations incorporated,pass,"Geometry/mask robustness incorporated; registered Raman rescore explicitly unavailable and retained as qualitative context."
Phase 8 robustness incorporated,pass,"Phase 8A/8B numerical robustness artifacts are included."
Model definitions frozen,pass,"Final model specification includes hierarchy and no-retuning policy."
Device conclusions frozen,pass,"Six-device final status ledger has one row per device."
No classifier retuning,pass,"Phase 9 does not change thresholds, scores, or calibration."
No mechanism expansion,pass,"Phase 9 does not add a new physics or weak-link class."
Claim hierarchy complete,pass,"Permitted, required, and prohibited claims are represented."
Limitations complete,pass,"Reusable limitation ledger is complete."
Final figures/tables selected,pass,"Final figure and table manifests are written."
Deferred work separated,pass,"Future work is separated from incomplete Phase 9 requirements."
Clean source provenance,fail,"Passes only when Phase 9 is rerun from a clean source checkout."
Frozen inputs available,pass,"All required upstream artifacts exist."
