item,status,value,note
phase15C_closure,pass_synthetic_flux_interference_verification,pass_synthetic_flux_interference_verification,"Phase 15C closes only if all synthetic verification gates pass."
phase15B_specification_consumed_unchanged,pass,true,"Frozen Phase 15B handoff and artifact commit are consumed unchanged."
AS006_residuals_used,false,false,"No raw AS006 residual comparison occurs in this phase."
flux_quantum_periodicity_verified,pass,true,"Flux periodicity is a synthetic implementation check."
effective_area_scaling_verified,pass,true,"Area scaling checks geometry-driven period behavior."
zero_field_NI_recovery,pass,true,"Zero-field response inherits the frozen current-switching layer."
PB_nonoscillatory,pass,true,"PB is allowed only as a smooth monotonic field suppression term."
Pphi_loop_interference_verified,pass,true,"Pphi oscillations require loop, phase constraint, and nonzero flux."
R1_R2_shared_phase_state,pass,true,"R1/R2 share one phase state rather than independent fitted periods."
phase_solver_type,static_constrained,static_constrained,"Static constrained means no full time-dependent RSJ claim."
dynamic_phase_slips_modeled,false,false,"Dynamic phase slips are not modeled by this implementation."
manual_period_fit,false,false,"No observed oscillation period is used."
topological_term_used,false,false,"No topological term is introduced."
thermal_feedback_used,false,false,"No electrothermal feedback term is introduced."
next_phase,phase15D_raw_AS006_field_execution,phase15D_raw_AS006_field_execution,"Phase 15D may compare P0/PB/Pphi to raw AS006 maps."
