item,status,note
phase14B4L_relock,complete,Overall relock status.
phase14B4L_closure,pass_raw_grid_loader_freeze,Closure records whether canonical raw grids are loader-frozen.
raw_data_all_resolved,true,True when AS001 and AS004 canonical grids are locked.
allowed_for_phase14B5_devices,AS001|AS004,Devices ready for Phase 14B.5 after clean artifact freeze.
blocked_devices,none,Devices still blocked from raw nonlinear execution.
proxy_substitution_used,false,No proxy data are used.
fitting_performed,false,No model fitting is performed.
canonical_grid_files,/private/tmp/LTSpice-Superconducting-Circuit-phase13F3-clean-71b913c/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase14B4L_canonical_grids/AS001_canonical_dVdIvIvT_grid.mat|/private/tmp/LTSpice-Superconducting-Circuit-phase13F3-clean-71b913c/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase14B4L_canonical_grids/AS004_canonical_dVdIvIvT_grid.mat,Canonical grid MAT files generated by the deterministic loader.
source_commit_sha,4d9a8ac61f014d21cba588dfe16b616ca7fdd490,Source commit captured before output generation.
source_pre_run_clean,true,Clean provenance requires no tracked or untracked pre-run changes.
next_phase,phase14B5_raw_nonlinear_execution,Next phase after relock.
