gate,outcome,note
Phase 13F.1 specification consumed unchanged,pass,"Reads frozen 13F.1 model specification, role ledgers, and handoff."
Phase 13F.2 variant behavior preserved,pass,"Reads 13F.2 limiting-case gates before execution."
F0 reproduces Phase 13C baseline,pass,"F0 residuals are copied from the frozen Phase 13C execution baseline."
All 24 fold-variant combinations completed,pass,"Six held-out devices by four variants."
Held-out data excluded from fitting,pass,"Training scores use only non-held-out devices for each fold."
Shared parameters only,pass,"Variant parameters are shared grid parameters, not device-specific knobs."
Baseline window remains locked,pass,"Normal-state window remains 0.85-1.00 scaled temperature."
Interface inputs remain independently specified,pass,"Interface-transfer inputs are read as independent ledger context."
Paired probes predicted jointly,pass,"Available secondary probes are predicted from the same selected variant."
Same seed ensemble used across variants,pass,"The Phase 13C seed ensemble is preserved through transformed intervals."
Threshold non-crossings retained,pass,"Crossing statuses keep explicit non-crossing categories."
Failed/regressive predictions retained,pass,"Failed log and regressive comparison rows are written."
No Raman or Phase 6 target use,pass,"External interpretive targets are not optimization targets."
No transport relabeling or probe fallback,pass,"No relabeling or automatic probe fallback is performed."
Parameter bounds diagnosed,pass,"Pinned/fold-bound behavior is reported for Phase 13F.4."
Clean provenance,pass,"True only when execution starts from a clean checkout."
