artifact_id,path,required,purpose,exists,frozen_use
phase5D1b_operating_point_feasibility,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D1b_operating_point_feasibility.csv,1,central negative result; no feasible universal operating point,1,read_only_input_no_retuning
phase5D1b_threshold_ROC_by_evidence_tier,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D1b_threshold_ROC_by_evidence_tier.csv,1,evidence-tier ROC tradeoff frozen from calibration seeds,1,read_only_input_no_retuning
phase5D1b_sigmaDeltaS_audit,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D1b_sigmaDeltaS_audit.csv,1,label-free uncertainty audit used as contextual detection limit,1,read_only_input_no_retuning
phase5D1b_nuisance_boundary_occupancy,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D1b_nuisance_boundary_occupancy.csv,1,nuisance-boundary occupancy diagnostic,1,read_only_input_no_retuning
phase5D1b_nuisance_penalty_sensitivity,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D1b_nuisance_penalty_sensitivity.csv,1,penalty sensitivity diagnostic; not retuned in 5D.2,1,read_only_input_no_retuning
phase5D1b_internal_calibration_check,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D1b_internal_calibration_check.csv,1,internal calibration split diagnostic,1,read_only_input_no_retuning
phase5D_source_provenance_checkpoint,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D_source_provenance_checkpoint.csv,0,source provenance checkpoint when available,1,read_only_input_no_retuning
phase5A_primary_transfer_ledger,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5_frozen_transfer_ledger.csv,1,real-device primary R(T) score source,1,read_only_input_no_retuning
phase5B_device_evidence_table,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5B_device_evidence_table.csv,1,secondary-probe and hierarchy evidence source,1,read_only_input_no_retuning
phase5B1_activation_heldout_validation,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5B1_activation_heldout_validation.csv,0,strict held-out activation-law context,1,read_only_input_no_retuning
phase5B2_full_series_device_predictions,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5B2_full_series_device_predictions.csv,0,full-series force-law descriptive context,1,read_only_input_no_retuning
phase5C_handoff_status,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_handoff_status.csv,1,synthetic identifiability and misspecification handoff,1,read_only_input_no_retuning
