item,status,value,note
phase15E_closure,pass_read_only_AS006_field_adequacy_assessment,pass_read_only_AS006_field_adequacy_assessment,"Workflow passes because it freezes a bounded field-model claim."
phase15E_decision,pass_selected_device_field_suppression_scope,pass_selected_device_field_suppression_scope,"Decision is read-only from frozen Phase 15D artifacts."
monotonic_field_suppression,true,true,"PB/Pphi improve over P0, especially Ic envelope."
static_phase_interference,limited_low_current_incremental_value,limited_low_current_incremental_value,"Pphi adds small descriptive value but fails morphology adequacy."
preferred_field_variant,PB,PB,"Preferred field baseline is parsimonious PB."
Pphi_incremental_value,limited_low_current_only,limited_low_current_only,"Pphi gain is limited and low-current weighted."
phase_interference_quantitative_adequacy,fail,false,"Fails because oscillation morphology and bounds fail."
shared_quantitative_field_predictor,fail,false,"No transferable quantitative field predictor is established."
AS006_quantitative_field_predictor,fail,false,"AS006-only quantitative adequacy is also not established."
prediction_bounds_limitation,retained,retained,"Prediction-bound failures remain explicit."
high_current_transfer,weak,weak,"High-current region remains weak."
oscillation_morphology,overproduced,overproduced,"Pphi overproduces turning points."
zero_field_inheritance,true,true,"Zero-field inheritance is retained."
R1_R2_shared_phase_state,true,true,"R1/R2 share one phase state."
Josephson_dynamics_established,false,false,"Static phase constraints do not establish Josephson dynamics."
vortex_mechanism_established,false,false,"No vortex model or claim is introduced."
topological_mechanism_established,false,false,"No topology term or claim is introduced."
strongest_defensible_claim,frozen,Field suppression is supported; static phase interference is directionally informative but not quantitatively adequate.,"Final Phase 15E scientific statement."
