claim_level,status,claim_text,qualification
framework_level,permitted,"A shared geometry-aware 2D superconducting-network framework provides a consistent interpretation of AS001-AS006.","Applies to the model family and frozen evidence hierarchy."
framework_level,permitted,"Local superconducting heterogeneity is sufficient for some devices, while structured weak-link connectivity is supported for the strongest cases.","Do not turn this into a universal automatic classifier."
framework_level,permitted,"Two-dimensional connectivity and current redistribution are required to interpret stressor boundaries, cracks, and multiple transport paths.","This is a network-level claim, not microscopic phase dynamics."
framework_level,permitted,"The device series is governed more strongly by local mechanical boundary conditions than by nominal film force alone.","Mechanical field remains geometry-derived and qualitative where Raman is unregistered."
device_level,permitted,"AS002 and AS003 do not require structured connectivity under the frozen evidence framework.","Weak links are not proven absent."
device_level,permitted,"AS005 supports a crack-associated structured interpretation.","Strong but crack-prior dependent and primary-only qualified."
device_level,permitted,"AS006 provides the strongest structured-connectivity evidence.","Comparatively prior/numerically robust within the frozen framework."
device_level,permitted,"AS001 and AS004 remain mechanistically unresolved.","No forced assignment."
limitation,required,"Normalized R(T) alone does not provide a deployable universal categorical classifier.","Phase 5D2 negative operating-point result."
limitation,required,"Contextual DeltaS and Z are not validated automatic labels.","They report directional preference and confidence limits."
limitation,required,"Raman is not a quantitatively registered strain prior in the final model.","Registered Raman rescore remains unavailable/deferred."
limitation,required,"The mechanical field is not an absolute local strain reconstruction.","Geometry proxy only."
limitation,required,"Phase 8B was a frozen-context score replay, not a full recomputation of every transport observable.","Numerical replay scope is limited."
limitation,required,"The model is phenomenological and does not uniquely reconstruct microscopic superconducting domains.","No microscopic inversion claim."
prohibited_claim,prohibited,"unique microscopic domain reconstruction","Not constrained by measurements."
prohibited_claim,prohibited,"absolute local strain prediction","No absolute strain calibration."
prohibited_claim,prohibited,"universal normalized RT mechanism classifier","Phase 5D2 shows no feasible universal operating point."
prohibited_claim,prohibited,"proof of Josephson phase dynamics","Phase dynamics are outside v8."
prohibited_claim,prohibited,"proof of topological superconductivity","Explicitly excluded from model scope."
prohibited_claim,prohibited,"proof of vortex trajectories","Vortex dynamics are outside v8."
prohibited_claim,prohibited,"quantitative Raman-constrained transport model","Registered Raman transport prior was not run."
prohibited_claim,prohibited,"validated M1 versus M2 classification from RT alone","Nested distinction requires multi-evidence qualifications."
