item,outcome,expected_scientific_limitation,note
Phase 16C ensemble consumed unchanged,pass,0,"Phase 16D reads frozen Phase 16C artifacts: closure=1, workflow=1, pseudoPosterior=1, nextPhase=1, commitReachable=1."
No new physical mechanism,pass,0,"No vortices, heating, phase dynamics, topology, or microscopic strain inversion added."
PB remains field baseline,pass,0,"Field-dependent hierarchy continues to use PB as primary field baseline."
Dense Pphi excluded,pass,0,"Dense Pphi remains excluded from primary inference."
Unique Wij inference prohibited,pass,0,"Individual W_ij maps remain prohibited as physical outputs."
Candidate spatial hierarchy predeclared,pass,0,"S0-S4 and Sfull diagnostic hierarchy written before any new fit."
Geometry basis independent of residual lookahead,pass,0,"Geometry bases are coverage/boundary/crack/bulk constructs, not residual-derived maps."
Complexity explicitly penalized,pass,0,"Scores include explicit complexity and stability penalties."
Held-out prediction used,pass,0,"The reduction is framed around held-out predictive contribution."
Tc/connectivity ablations separated,pass,0,"H0/HT/HW/HTW ablations are written separately."
Known connectivity degeneracies tested,pass,0,"Phase 16B/16C correlation and degeneracy ledgers are consumed."
Ensemble stability assessed,pass,0,"Component support is read from the Phase 16C ensemble policy."
Region support not microscopic probability,pass,0,"Region tables are labeled as transport-sensitive support only."
Clean provenance,pass,0,"Canonical artifact freeze requires clean pre-run source state."
Unique physical weak-link map,fail,1,"Expected failure: no unique microscopic weak-link map is inferred."
Boundary versus coverage unique decomposition,fail,1,"Expected failure: boundary/coverage split remains nonunique."
