item,value,note
model_name,"v8.0 geometry-aware superconducting weak-link network","Final frozen framework name."
model_hierarchy,"M0star, M1, M2","Nested phenomenological hierarchy."
M0star_definition,"local-Tc heterogeneity plus frozen nuisance envelope","Control/local heterogeneity limit; does not prove weak links absent."
M1_definition,"local-Tc heterogeneity plus structured boundary/contact/crack connectivity","Structured weak-link topology class."
M2_definition,"local-Tc heterogeneity plus combined bottleneck structure","Strongest combined structured-connectivity class."
electrical_geometry,"2D Hall-bar network with longitudinal and transverse links","Four-probe network solution rather than 1D current path."
observables,"normalized four-probe R(T); paired-probe response where available; selected nonlinear transport evidence; contextual DeltaS and Z","Final observable stack."
mechanical_input,"geometry-derived boundary/crack masks; Raman used qualitatively unless registered","Mechanical field is a proxy, not absolute strain."
architecture_step_1,"Hall-bar geometry","Device geometry and contact/probe layout."
architecture_step_2,"H(x,y)","Local superconducting-strength/mechanical prior field."
architecture_step_3,"Tc(x,y)","Local superconducting transition field generated by geometry and disorder."
architecture_step_4,"W_ij","Weak-link transparency/connectivity field on network links."
architecture_step_5,"R_4p(T,I,B)","Four-probe network transport response in the semi-phenomenological model."
shunts_and_nuisance,"normal or incompletely superconducting shunts plus frozen disorder/nuisance envelope","Handled as uncertainty and context, not device-specific mechanism fitting."
retuning_allowed,"false","Phase 9 packaging cannot reopen calibration."
device_specific_mechanism_parameters_allowed,"false","Final hierarchy does not use device-specific mechanism parameters."
universal_classifier_deployable,"false","Phase 5D2 established no feasible universal normalized R(T) operating point."
