quantity,recoverability_status,claim_allowed,claim_strength,source_phase,policy_note
B_supp,selected_device_constrained,1,selected_device_scope,16B,"Field suppression scale is constrained only in selected-device context."
field_suppression,supported_directional,1,selected_device_scope,15E,"PB retained as AS006 field baseline."
static_phase_interference,directionally_informative_but_inadequate,1,limited_context,15E,"Pphi has limited descriptive value but is not a quantitative field model."
shared_quantitative_field_predictor,not_established,0,not_allowed,15E,"Frozen scientific failure from Phase 15E."
uniform_background,retained,1,baseline_component,16D,"Shared background retained in reduced model."
structured_bottleneck_strength,identifiable_as_grouped_direction,1,class_level,16D,"Report as grouped latent connectivity, not individual components."
geometry_class_connectivity,supported_in_reduced_combinations,1,reduced_combination,16D,"Report reduced geometry-class combinations, not a dense spatial field."
boundary_structure,supported_region_level,1,region_level,16D,"Report as transport-sensitive region-level support."
coverage_segmentation,partial_redundant_support,1,partial,16D,"Coverage information partly overlaps boundary term."
AS005_crack_neighborhood,supported_not_unique,1,AS005_local_context,16D,"AS005 crack support is local and nonunique."
Tc_heterogeneity,retained_partial_support,1,partial,16D,"Local-Tc heterogeneity retained only with ablation context."
boundary_vs_coverage_decomposition,nonunique,0,not_allowed,16D,"Do not report unique boundary/coverage amplitudes."
individual_Wij,non_identifiable,0,not_allowed,16D,"Individual W_ij remains diagnostic only."
microscopic_weak_link_map,prohibited_claim,0,not_allowed,16D,"No microscopic strain or weak-link probability map is inferred."
dense_phase_loop_map,not_supported,0,not_allowed,15E-16D,"Dense phase-loop map remains outside the preferred recoverable model."
unique_strain_tensor,not_inferred,0,not_allowed,1-16,"No unique strain tensor is inferred."
Josephson_vortex_dynamics,not_established,0,not_allowed,1-16,"Josephson/vortex dynamics are not established by this workflow."
order_parameter_symmetry,not_accessible,0,not_allowed,1-16,"Order-parameter symmetry is not accessible from these observables."
topology,not_established,0,not_allowed,1-16,"Topological superconductivity is not established."
