item,value,note
phase,phase16C_profile_likelihood_posterior_exploration,"Phase identifier."
active_parameter_count,8,"Reduced active parameter count inherited from Phase 16B."
parameter_set_source,phase16B_parameter_freeze,"No parameter is added, removed, or relabeled."
statistical_interpretation,profile_objective_and_pseudo_posterior,"Current multimodal score is not promoted to a full noise likelihood."
objective_type,quadratic_surrogate_from_phase16B_information_matrix,"Profiles minimize the frozen local objective over compensating parameters."
formal_confidence_intervals_allowed,false,"Intervals are objective-support intervals, not formal confidence intervals."
formal_bayesian_posterior_allowed,false,"Samples are objective-weighted ensemble states, not a formal posterior."
profile_reoptimization_space,frozen_active_reduced_parameters_only,"Only Phase 16B active/nuisance parameters compensate during profiles."
primary_field_model,PB,"Phase 15E retained PB as AS006 field baseline."
dense_Pphi,excluded,"Dense static phase layer remains excluded from primary inference."
unique_Wij,prohibited,"Individual weak-link edge inference remains excluded."
quantitative_Raman_coupling,contextual_only,"Raman is not numerically coupled without a registered transform."
new_device_specific_scales,prohibited,"No new per-device mechanism scale parameters."
solver_rerun,false,"No forward solver rerun is performed."
