table_id,path,source_status,purpose,exists
phase9_final_model_specification,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_final_model_specification.csv,generated_in_phase9,"Canonical model definition and architecture.",1
phase9_final_device_conclusion_ledger,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_final_device_conclusion_ledger.csv,generated_in_phase9,"Thesis-ready six-device conclusion ledger.",1
phase9_evidence_hierarchy,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_evidence_hierarchy.csv,generated_in_phase9,"Final hierarchy of evidence sources.",1
phase9_claim_hierarchy,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_claim_hierarchy.csv,generated_in_phase9,"Permitted, required, and prohibited claims.",1
phase9_model_limitations,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_model_limitations.csv,generated_in_phase9,"Reusable final limitation ledger.",1
phase9_deferred_work,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_deferred_work.csv,generated_in_phase9,"Deferred work separated from incomplete requirements.",1
phase9_raman_registration_disposition,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_raman_registration_disposition.csv,generated_in_phase9,"Explicit Raman registration disposition used by Phase 9 gates.",1
phase6_six_device_evidence_matrix,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase6_six_device_evidence_matrix.csv,frozen_input,"Frozen hierarchy and contextual scores.",1
phase7B_device_robustness_annotations,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase7B_device_robustness_annotations.csv,frozen_input,"Mechanical-prior claim-impact annotations.",1
phase8B_status_stability_summary,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase8B_status_stability_summary.csv,frozen_input,"Numerical replay stability annotations.",1
